problem,budget_name,budget_value,recommended_algorithm,score_PSO,score_RANDOMSEARCH-5,score_GA
f1,petit,2000,PSO,3.848068065,75.08085566,89.69721957
f1,moyen,20000,PSO,3.932338117e-07,61.10207281,34.57050427
f1,grand,200000,PSO,9.661334843e-09,49.43359708,0.01558515547
f8,petit,2000,PSO,613.0551232,58807.06213,78344.24033
f8,moyen,20000,PSO,24.91730271,30640.06982,14553.65756
f8,grand,200000,PSO,9.998163915,21574.08187,24.80603002
f15,petit,2000,PSO,244.5673651,529.161469,578.950632
f15,moyen,20000,PSO,62.97336433,442.9061196,383.2827661
f15,grand,200000,GA,62.97336433,340.6375976,60.70154108
f20,petit,2000,PSO,3.799899248,16495.55374,23073.21752
f20,moyen,20000,PSO,1.559397236,10237.74584,3470.291262
f20,grand,200000,GA,1.545702271,5617.525573,0.6205919011
f24,petit,2000,PSO,237.3960896,408.0166857,397.5185092
f24,moyen,20000,PSO,155.1972898,352.95648,369.164419
f24,grand,200000,PSO,99.89341111,303.4464057,149.5354709
